src_word,desc,src_alt
A-Dur ,А-дур, 
A-Dur-Tonleiter ,А-дур-скала, 
ABC-Waffen ,"АБХО-оружје <br/> &emsp; <i>Atomare, Biologische, Chemische Waffen ≈ атомско-биолошко-хемиско оружје</i>", 
ABC-Waffen-freie Zone ,зона без АБХО-оружје,
Aal ,јагула <br/> &emsp; <i>geräucherter Aal ≈ чадена јагула</i> <br/><br/> јагула <br/> &emsp; <i>er windet sich wie ein Aal ≈ фатил јагула за опашка</i>, 
Aalfang ,лов на јагули,
Aar ,орел, 
Aas ,1. мрша <br/><br/> 2. труп,
Aasgeier ,1. мршојад <br/><br/> 2. мршојадец, 
Aba ,арапски долг капут,
Abart ,1. разновидост <br/><br/> 2. атипичност <br/><br/> 3. дегенерација,
Abartigkeit ,1. ненормалност <br/><br/> 2. перверзност,
Abbau ,1. експлоатација <br/> &emsp; <i>Abbau vo Kohle ≈ експлоатација на јаглен</i> <br/><br/> 2. намалување <br/> &emsp; <i>Abbau von Arbeitskräften ≈ намалување на работна снага</i>,
Abbau ,1. разложување <br/><br/> 2. разградување <br/><br/> демонтажа, 
Abbeizmittel ,абразивно средство, 
Abberufung ,отповикување <br/> &emsp; <i>Abberufung des Botschafters ≈ отповикување амбасадор</i>, 
Abbestellung ,1. откажување <br/><br/> 2. откажување термин <br/> &emsp; <i>Abbestellung des Klempners ≈ му откажа на водоинсталатерот</i>,
Abbestellung ,откажување нарачка <br/> &emsp; <i>Abbestellung des Hotelzimmers ≈ откажување на хотелската соба</i>, 
Abbiegespur ,лента за свртување <br/> &emsp; <i>linke Abbiegespur ≈ лева лента за свртување</i>,
Abbild ,1. отсликување <br/> &emsp; <i>Abbild der Wirklichkeit ≈ отсликување на реалноста</i> <br/><br/> 2. копија,
Abbildung ,1. илустрација <br/> &emsp; <i>Buch mit vielen Abbildungen ≈ книга со многу илустрации</i> <br/><br/> 2. цртеж,
Abbitte ,1. извинување <br/><br/> 2. молење за прошка,
Abblendlicht ,1. (спуштено светло) <br/><br/> 2. (средно светло), 
Abbruch ,1. прекин <br/> &emsp; <i>Abbruch der Behandlung ≈ прекин на терапијата</i> <br/><br/> 2. штета <br/> &emsp; <i>es tut keinen Abbruch! ≈ нема штета!</i>,
Abbruch ,1. одрон <br/><br/> 2. разурнување, 
Abbé ,игумен, 
Abc-Buch ,абв-буквар,
Abc-Schütze ,прваче (ученик во прво одделение),
Abdampf ,веќе користена пареа, 
